"equipmentnumber","type","description","stationnumber","createdAt","updatedAt","x","y"
10500567,"ELEVATOR","zu Gleis 2/3",4075,2018-07-19 10:51:18,2019-11-13 10:45:13,6.63409,49.43682
10500638,"ELEVATOR","zu Bahnsteig1/2/3/4",2207,2019-03-26 10:20:19,2019-11-13 10:45:13,12.4293085,50.8932265
10500662,"ELEVATOR","Gleis 4/5",1059,2018-11-09 09:45:12,2019-11-13 10:45:13,10.957253,50.2627537
10500663,"ELEVATOR","Hausbahnsteig, Gleis 1",1059,2019-03-12 13:39:20,2019-11-13 10:45:13,10.9577358,50.2628138
10500702,"ELEVATOR",NA,6323,2019-09-10 11:35:11,2019-11-13 10:45:11,9.98278,48.39846
10500703,"ELEVATOR",NA,6323,2019-09-10 11:25:10,2019-11-13 10:45:12,9.98254,48.39845
10500757,"ELEVATOR","zu Gleis 1",2219,2018-07-19 10:51:17,2019-11-13 10:45:12,8.7747266,47.7373097
10500758,"ELEVATOR","zu Gleis 2",2219,2018-07-19 10:51:17,2019-11-13 10:45:12,8.7747249,47.737444
10500771,"ELEVATOR","zu Gleis 1",4872,2018-10-01 13:10:13,2019-11-13 10:45:12,13.4502992,48.573909
10500772,"ELEVATOR","zu Gleis 5/6",4872,2018-10-01 13:10:13,2019-11-13 10:45:12,13.4503284,48.5735529
10500773,"ELEVATOR","zu Gleis 2/3",4872,2018-10-01 13:10:13,2019-11-13 10:45:12,13.4503134,48.5737686
10500806,"ELEVATOR","zu Gleis 1",3903,2018-07-19 10:51:18,2019-11-13 10:45:12,8.31345,49.99434
10500807,"ELEVATOR","zu Gleis 2/3",3903,2018-07-19 10:51:18,2019-11-13 10:45:12,8.31345,49.9942
10500948,"ELEVATOR","zu Gleis 2/3",248,2018-07-19 10:51:16,2019-11-13 10:45:11,7.15925,52.310076
10500951,"ELEVATOR","zu Gleis 1",762,2018-07-19 10:51:16,2019-11-13 10:45:11,8.8280497,48.5232705
10500952,"ELEVATOR","zu Bstg. 2/3",762,2018-09-27 11:55:11,2019-11-13 10:45:11,8.8277983,48.5232497
10501044,"ELEVATOR","zu Gleis 1",3927,2018-07-19 10:51:19,2019-11-13 10:45:13,8.58042,49.44849
10501045,"ELEVATOR","zu Gleis 2/3",3927,2018-07-19 10:51:19,2019-11-13 10:45:13,8.58023,49.44855
10501046,"ELEVATOR","zu Gleis 4/5",3927,2018-10-01 13:10:15,2019-11-13 10:45:13,8.58005,49.44861
10501047,"ELEVATOR","zu Gleis 1",3490,2018-07-19 10:51:19,2019-11-13 10:45:13,8.6026107,49.4739915
10501048,"ELEVATOR","ZU GLEIS 2",3490,2018-07-24 10:05:12,2019-11-13 10:45:13,8.6030889,49.4745688
10501051,"ELEVATOR","zu Gleis 1",2362,2018-07-19 10:51:19,2019-11-13 10:45:13,8.63346,49.50925
10501052,"ELEVATOR","zu Gleis 2",2362,2018-07-19 10:51:19,2019-11-13 10:45:13,8.63372,49.50926
10501056,"ELEVATOR","zu Gleis 1",6622,2018-11-23 14:45:13,2019-11-13 10:45:13,8.66546,49.55324
10501057,"ELEVATOR","zu Gleis 2/3",6622,2018-11-21 12:25:13,2019-11-13 10:45:13,8.6653261,49.5532849
10501058,"ELEVATOR","zu Gleis 4",6622,2018-11-23 14:55:13,2019-11-13 10:45:13,8.6651236,49.5533266
10501059,"ELEVATOR","zu Gleis 1",3578,2018-07-19 10:51:19,2019-11-13 10:45:13,8.6445198,49.6121836
10501060,"ELEVATOR","ZU GLEIS 2",3578,2018-07-19 10:51:19,2019-11-13 10:45:13,8.6445198,49.6121836
10501083,"ELEVATOR","zu Gleis 1",240,2018-07-19 10:51:19,2019-11-13 10:45:13,7.7696073,50.0556184
10501084,"ELEVATOR","zu Gleis 2/3",240,2018-07-19 10:51:19,2019-11-13 10:45:13,7.7698319,50.055725
10501091,"ELEVATOR","zu Gleis 1/2",8092,2018-07-19 10:51:19,2019-11-13 10:45:13,13.7462588,51.0724365
10501111,"ELEVATOR","zu Gleis 1",4075,2018-07-19 10:51:18,2019-11-13 10:45:12,6.63427,49.43683
10501116,"ELEVATOR","zu Gleis 3/4",1659,2019-03-12 13:39:18,2019-11-13 10:45:12,8.25498,50.99085
10501166,"ELEVATOR","zu Gleis 2/3",1077,2018-09-06 12:35:15,2019-11-13 10:45:12,14.3249,51.7508
10501168,"ELEVATOR","zu Gleis 4/5",1077,2019-04-24 11:05:12,2019-11-13 10:45:12,14.3249089,51.7510009
10501172,"ELEVATOR","zum Gleis 7/8",1077,2019-01-07 13:15:14,2019-11-13 10:45:12,14.3249106,51.7515159
10501173,"ELEVATOR","zum Gleis 9/10",1077,2018-09-07 10:50:16,2019-11-13 10:45:12,14.3248975,51.7516443
10501179,"ELEVATOR",NA,3405,2018-07-19 10:51:18,2019-11-13 10:45:12,0,0
10501180,"ELEVATOR",NA,3405,2018-10-01 13:10:13,2019-11-13 10:45:12,0,0
10501181,"ELEVATOR",NA,3405,2018-10-01 13:10:13,2019-11-13 10:45:12,0,0
10501237,"ELEVATOR","Gleis 2",968,2019-03-21 10:30:19,2019-11-13 10:45:12,8.57403,52.20209
10501238,"ELEVATOR","Gleis 3/4",968,2019-03-21 10:30:19,2019-11-13 10:45:12,8.57394,52.20221
10501317,"ELEVATOR","zu Gleis 2/3",7027,2018-07-19 10:51:18,2019-11-13 10:45:12,10.9994552,49.5794808
10501407,"ELEVATOR","zu Gleis 2/3",4207,2019-08-09 09:20:12,2019-11-13 10:45:11,10.4745411,51.20896697
10501408,"ELEVATOR",NA,298,2019-10-16 12:50:36,2019-11-13 10:45:11,0,0
10501448,"ELEVATOR","zu Gleis 3",2268,2018-07-19 10:51:16,2019-11-13 10:45:11,13.1286335,52.394449
10501451,"ELEVATOR","zu Gleis 11/12 Abschnitt A",3925,2018-07-19 10:51:16,2019-11-13 10:45:11,8.4682094,49.4791894
10501477,"ELEVATOR","zu Gleis 1",4207,2019-08-09 09:40:12,2019-11-13 10:45:11,10.47434848,51.20887066
10501494,"ELEVATOR","von EG zu Tunnel",3576,2018-07-19 10:51:17,2019-11-13 10:45:11,9.70888,49.5659
10501495,"ELEVATOR","zu Gleis 1/2",3576,2018-07-19 10:51:17,2019-11-13 10:45:11,9.70898,49.566
10501496,"ELEVATOR","zu Gleis 3/4",3576,2018-07-19 10:51:17,2019-11-13 10:45:11,9.7091601,49.5660284
10501508,"ELEVATOR","zu Gleis 1 (S-Bahn)",687,2018-07-19 10:51:17,2019-11-13 10:45:11,9.814143,53.564153
10501542,"ELEVATOR","zu Gleis 1",4076,2018-12-12 13:15:12,2019-11-13 10:45:11,8.27894,51.34956
10501543,"ELEVATOR","zu Gleis 2/3",4076,2018-12-13 09:50:12,2019-11-13 10:45:11,8.2788111,51.349693
10501553,"ELEVATOR","zu Gleis 1",2814,2018-07-19 10:51:17,2019-11-13 10:45:11,8.5373678,49.3174014
10501554,"ELEVATOR","zu Gleis 2/3",2814,2018-07-19 10:51:17,2019-11-13 10:45:11,8.5373678,49.3174014
10501568,"ELEVATOR","ZU GLEIS 2",3934,2019-03-12 13:39:18,2019-11-13 10:45:11,8.53445,49.42443
10501573,"ELEVATOR","ZU GLEIS 1",5766,2018-11-20 11:25:12,2019-11-13 10:45:11,8.57835,49.38377
10501574,"ELEVATOR","ZU GLEIS 2/3",5766,2018-11-20 12:45:11,2019-11-13 10:45:11,8.57856,49.3838
10501575,"ELEVATOR","zu Bahnhofs Vorplatz",6464,2019-03-12 13:39:18,2019-11-13 10:45:11,8.50857,49.24805
10501576,"ELEVATOR","zu Gleis 2/3",6464,2019-03-12 13:39:18,2019-11-13 10:45:11,8.50829,49.24811
10501577,"ELEVATOR","zu Gleis 1",6464,2019-03-12 13:39:18,2019-11-13 10:45:11,8.5081,49.24816
10501613,"ELEVATOR",NA,1899,2019-08-28 13:00:35,2019-11-13 10:45:10,7.854543,47.982558
10501614,"ELEVATOR","zum Gleis 2/3",1899,2019-08-28 12:10:35,2019-11-13 10:45:10,7.854661,47.982376
10501616,"ELEVATOR","zum Gleis 2/3",3206,2019-08-21 11:45:07,2019-11-13 10:45:10,7.959417,47.968065
10501619,"ELEVATOR","zu Gleis 1",2782,2019-11-06 11:45:39,2019-11-13 10:45:10,8.10592,47.906269
